GeneID	controlL_rep2	PE60L_rep2	PE60L_rep1	PE200L_rep2	PE600L_rep2	PE600L_rep3	PE60L_rep3	PE200L_rep3	controlL_rep3	PE200L_rep1	PE600L_rep1	controlL_rep1
CQUJHB006468	203	74	345	113	127	73	110	71	101	299	304	437
CQUJHB018248	2581	1043	2810	1557	1805	1546	1272	1499	893	3980	2196	2844
CQUJHB008973	155	72	139	128	75	162	198	67	106	142	117	168
CQUJHB011254	0	0	3	1	0	16	7	0	0	0	0	0
CQUJHB004701	21	77	0	0	6	3	10	114	8	6	105	235
CQUJHB004900	2	0	1	8	0	0	0	0	0	0	3	0
CQUJHB003338	165	53	101	102	115	42	39	34	125	187	169	86
CQUJHB003926	113	28	188	21	44	26	24	20	59	237	246	111
CQUJHB015713	149	62	322	117	91	55	106	50	152	292	260	268
CQUJHB002864	0	2	0	3	0	0	0	0	0	0	0	5
CQUJHB018163	2398	1230	1840	2520	892	2026	713	740	611	2606	1760	1707
CQUJHB011386	44	23	23	15	35	12	14	16	31	43	29	33
CQUJHB006357	446	241	510	227	339	181	162	136	381	395	470	586
CQUJHB014749	2310	470	4246	675	888	735	986	485	1132	4279	3356	2646
CQUJHB001909	3973	2284	2845	2671	3701	2393	1897	1917	2390	3817	2582	4256
CQUJHB008535	1	5	3	2	1	0	0	0	3	2	1	5
CQUJHB001969	801	195	744	287	492	249	428	202	459	977	843	624
CQUJHB009216	285	156	211	125	135	283	141	84	90	341	143	148
CQUJHB010597	13	0	0	0	1	0	2	0	0	3	3	0
CQUJHB014022	0	1	0	0	1	0	0	0	0	0	0	0
CQUJHB016725	3934	779	2799	688	732	1332	549	870	449	4915	2466	1668
CQUJHB012630	52	61	8	69	64	84	88	34	36	26	13	15
CQUJHB000934	116	65	147	55	85	50	69	59	61	185	170	206
CQUJHB002981	611	177	615	220	210	245	175	234	178	842	522	740
CQUJHB017097	61	60	88	42	32	28	72	48	57	96	73	96
CQUJHB005616	28	0	2	0	7	5	8	3	16	5	7	0
CQUJHB018263	328	283	239	326	272	279	161	211	180	270	245	406
CQUJHB010355	532	233	339	339	254	510	311	286	119	848	326	322
CQUJHB010659	15	5	0	22	11	12	14	3	13	15	13	11
CQUJHB002096	409	149	499	243	154	314	282	185	156	601	431	427
CQUJHB009827	36	0	26	0	6	3	2	3	48	35	35	78
CQUJHB008430	1833	828	1840	1182	924	1047	958	1051	713	1962	1407	1659
CQUJHB015483	0	0	0	1	5	1	2	0	0	0	0	0
CQUJHB013841	0	0	2	0	0	0	0	0	0	1	0	0
CQUJHB014607	0	0	2	0	0	0	4	0	0	1	0	1
CQUJHB003368	512	258	219	393	355	321	214	238	159	445	231	356
CQUJHB017854	90	4117	58	12691	742	1645	284	464	325	54	51	131
CQUJHB006737	163	2170	1169	2961	614	525	350	676	737	141	1332	2703
CQUJHB010815	0	0	0	0	1	0	0	0	0	0	0	0
CQUJHB020426	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB020403	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB018451	0	0	1	4	2	2	0	1	0	0	2	2
CQUJHB013504	26080	6047	10958	7635	10550	4608	4758	6826	4099	30124	20280	12831
CQUJHB010869	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB005472	0	0	0	0	0	0	0	0	0	2	0	0
CQUJHB004681	13	0	10	2	0	3	8	0	5	23	2	4
CQUJHB015820	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB000860	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB016109	2	0	2	0	0	0	1	1	13	0	0	0
CQUJHB011536	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB008053	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB011700	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB015313	4	4	9	7	7	0	0	2	0	4	4	0
CQUJHB006841	2	0	4	3	3	1	2	0	0	5	1	3
CQUJHB002277	3	0	1	0	0	0	0	0	0	0	0	0
CQUJHB012379	0	0	3	0	0	0	0	0	0	0	0	0
CQUJHB006286	0	0	1	0	0	0	0	0	0	0	0	0
CQUJHB015760	113	32	168	36	85	18	124	24	111	144	134	93
CQUJHB001463	148	189	477	57	211	49	117	134	194	350	296	315
CQUJHB002318	3	0	0	2	8	0	1	1	1	13	0	0
CQUJHB007527	0	0	0	0	0	0	1	3	0	0	0	0
CQUJHB016446	217	72	232	239	185	88	85	354	226	294	507	291
CQUJHB014983	0	0	0	0	0	0	0	0	0	0	0	3
CQUJHB007974	1864	1657	2373	1460	1246	1665	1982	2836	724	3255	2412	3925
CQUJHB009557	7798	25738	6624	18604	14166	10518	8782	9795	9011	6333	6044	9230
CQUJHB004124	1241	1510	1923	2142	1157	1600	1504	1872	754	1689	1225	1212
CQUJHB000269	78	26	105	46	55	17	23	26	9	60	119	144
CQUJHB015644	0	0	0	0	0	0	0	0	7	0	0	0
CQUJHB009374	36	0	44	0	3	12	9	12	17	77	26	52
CQUJHB009491	178	87	243	136	113	161	122	78	146	139	166	214
CQUJHB003757	3	1	4	0	0	9	1	1	0	0	0	0
CQUJHB014391	44	36	66	20	34	56	34	21	21	36	60	52
CQUJHB013246	0	0	1	3	1	0	0	0	0	0	1	0
CQUJHB006962	110	40	196	30	86	34	59	30	75	326	307	224
CQUJHB005296	163	96	236	63	220	56	114	49	266	418	424	229
CQUJHB011952	1	0	0	0	0	0	0	0	0	1	0	0
CQUJHB016708	765	0	0	0	0	0	0	0	0	0	0	0
CQUJHB005729	3529	1996	3930	1092	1620	1631	2396	2530	1426	5011	6624	5388
CQUJHB007496	122	48	131	92	78	37	50	38	63	132	332	262
CQUJHB006487	499	458	1415	1384	924	1551	582	523	830	1638	1378	998
CQUJHB009315	0	0	1	0	0	0	0	0	0	0	0	0
CQUJHB014394	157	57	201	121	120	49	56	38	105	214	311	385
CQUJHB004474	0	0	0	1	21	0	1	0	0	0	2	0
CQUJHB007447	0	0	1	0	8	0	0	0	0	0	0	0
CQUJHB008316	0	0	0	0	5	0	0	0	0	0	1	0
CQUJHB006849	0	0	0	0	0	0	0	0	0	0	2	0
CQUJHB003640	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003321	1	0	0	0	14	0	0	0	0	0	0	0
CQUJHB004917	1737	284	1658	294	663	349	549	460	422	1282	1396	2279
CQUJHB008203	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB008560	2037	483	1368	714	1045	495	453	379	449	1209	1758	4129
CQUJHB003130	372	196	448	498	215	383	449	419	109	354	282	518
CQUJHB007296	547	247	474	377	317	316	265	172	153	608	468	639
CQUJHB016540	842	391	475	590	462	567	380	308	132	591	351	692
CQUJHB014498	1	3	5	5	4	1	0	2	0	13	6	3
CQUJHB010550	81	42	75	116	119	35	24	12	64	36	217	149
CQUJHB005803	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB009620	5013	190	2098	631	553	2783	254	283	181	8590	4096	1887
CQUJHB017365	0	0	0	0	0	1	1	0	0	1	1	0
CQUJHB012252	11	12	2	3	4	10	3	1	0	1	1	0
CQUJHB009826	171	163	23	144	87	321	42	10	29	7	0	46
CQUJHB016692	417	19	432	28	37	35	84	14	85	350	160	391
CQUJHB001388	3	0	8	0	0	0	0	0	0	2	0	0
CQUJHB013149	1066	364	1045	729	866	299	245	220	597	596	1207	1823
CQUJHB016535	803	49	329	100	70	825	78	119	16	1291	804	283
CQUJHB001323	154	8	65	63	4	15	80	29	11	375	100	7
CQUJHB018349	19	32	113	44	44	23	10	50	9	5	5	74
CQUJHB018395	45	1	22	27	10	11	13	4	1	44	53	175
CQUJHB004265	10	0	1	0	3	0	1	0	0	2	0	0
CQUJHB012176	40	23	21	5	17	50	30	35	5	62	37	70
CQUJHB014121	167	29	168	86	128	1579	235	246	31	253	8	78
CQUJHB017515	3892	71	1048	10	463	254	360	507	138	492	272	1890
CQUJHB003666	492	2	26	3	0	3	1	1	0	732	244	22
CQUJHB006925	1549	113	149	363	72	80	27	151	2	108	1	46
CQUJHB016620	4	329	11	996	5	254	5	0	0	0	3	2
CQUJHB006592	1481	658	378	2160	250	405	510	287	410	256	185	991
CQUJHB012658	5	3	2	8	5	6	0	0	0	0	9	25
CQUJHB001614	192	7	68	63	23	25	13	20	0	132	109	188
CQUJHB006326	158	5	38	320	83	38	82	16	13	4	24	50
CQUJHB016244	1904	361	372	1495	1513	5223	1567	817	132	12	27	391
CQUJHB007625	62	11	97	36	14	12	12	11	6	163	164	76
CQUJHB011448	522	353	249	290	385	904	220	249	362	126	209	620
CQUJHB008352	113	82	151	195	70	7	20	14	13	92	34	168
CQUJHB007292	360	123	669	905	424	180	56	41	192	3001	2507	799
CQUJHB007051	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB010691	62	8	74	8	19	10	5	5	1	36	48	78
CQUJHB004476	0	0	0	1	1	0	3	0	0	5	0	5
CQUJHB018112	126	24	144	300	166	52	56	8	87	341	752	292
CQUJHB016437	115	133	237	539	326	39	66	70	322	98	1236	631
CQUJHB017594	1055	1905	881	1260	2824	206	1403	789	3894	277	4967	6687
CQUJHB005133	21	58	681	697	933	33	8	0	359	324	3209	683
CQUJHB003991	326	178	743	60	284	36	851	118	1109	1568	3920	1464
CQUJHB005050	3133	1089	6026	2095	1710	1463	2292	860	2962	4454	6277	6367
CQUJHB016232	5505	2291	5499	1743	3168	1711	1978	3347	2221	6069	5113	6981
CQUJHB006619	569	280	468	267	459	237	227	319	320	359	597	909
CQUJHB005460	3188	687	4711	898	1009	1093	1775	743	1420	5625	5188	4016
CQUJHB006014	434	235	357	128	219	108	183	272	123	413	327	559
CQUJHB002743	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003449	523	754	401	325	280	219	355	829	144	239	572	994
CQUJHB015526	342	0	343	0	8	15	158	10	3	231	21	83
CQUJHB002661	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB000119	421	242	431	458	165	546	361	190	119	682	453	375
CQUJHB000976	0	0	1	0	3	0	0	0	0	0	1	5
CQUJHB009863	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB016703	10854	1042	8321	1095	1200	5848	2345	1419	1356	14780	11370	7423
CQUJHB005049	114	62	120	100	84	35	45	49	166	139	188	221
CQUJHB003793	74	30	181	71	51	41	31	39	62	142	134	234
CQUJHB012247	779	460	558	365	363	393	350	574	240	1266	563	673
CQUJHB012312	151	52	141	127	114	61	64	41	125	169	187	276
CQUJHB001145	6	1	9	3	13	4	8	0	5	7	33	21
CQUJHB014340	134	54	175	119	117	54	59	37	85	237	262	306
CQUJHB007590	10	0	2	5	8	1	2	0	5	12	9	21
CQUJHB011361	358	209	459	239	316	166	183	136	222	491	653	660
