GeneID	controlF_rep2	PE60F_rep2	PE60F_rep1	PE200F_rep2	PE600F_rep2	PE600F_rep3	PE60F_rep3	PE200F_rep3	controlF_rep3	PE200F_rep1	PE600F_rep1	controlF_rep1
CQUJHB011950	320	211	140	255	198	146	198	77	83	113	336	216
CQUJHB007386	401	639	300	722	580	386	537	269	168	601	366	595
CQUJHB006038	244	396	185	347	313	326	243	128	102	234	273	295
CQUJHB004463	690	1171	533	1078	1107	623	977	469	460	608	553	1622
CQUJHB008341	0	0	0	0	0	0	0	4	0	0	0	0
CQUJHB016843	1911	1972	781	1552	1506	845	1011	660	608	1355	964	1293
CQUJHB013542	0	12	0	2	3	0	0	0	0	0	0	0
CQUJHB011195	8	4	3	1	0	0	0	0	0	7	4	3
CQUJHB011051	48	60	23	94	21	41	30	10	5	28	118	49
CQUJHB003895	0	0	0	0	0	0	0	0	0	4	0	0
CQUJHB017149	48	44	11	40	23	62	34	11	13	34	19	92
CQUJHB004809	325	412	188	330	224	209	276	121	123	247	217	168
CQUJHB008494	25	15	3	10	0	15	9	3	7	8	8	5
CQUJHB001386	0	0	5	1	0	5	1	0	0	0	3	1
CQUJHB008751	364	550	143	251	166	243	234	111	48	177	488	165
CQUJHB011603	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB018086	1	8	7	7	3	0	2	0	0	3	11	39
CQUJHB003072	12	1	5	2	2	0	1	2	1	0	11	4
CQUJHB016028	1326	1363	329	939	533	1089	715	195	233	383	2292	1011
CQUJHB002830	47	82	41	59	26	61	81	16	20	74	74	77
CQUJHB004069	57	28	29	18	28	42	20	0	5	5	54	46
CQUJHB002594	0	0	8	2	0	6	0	0	0	3	0	0
CQUJHB017253	28	27	13	12	0	7	12	10	0	5	13	20
CQUJHB008723	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB009113	12	9	8	26	22	49	33	11	11	38	49	51
CQUJHB015152	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB002161	32	0	3	0	0	8	9	0	2	2	1	6
CQUJHB018396	97	79	10	30	17	45	71	12	16	17	138	50
CQUJHB008634	589	325	91	402	532	97	396	302	261	187	184	244
CQUJHB017133	0	0	0	1	0	0	0	0	2	0	0	0
CQUJHB017599	5	2	0	4	0	5	0	0	0	0	0	0
CQUJHB012639	22	33	3	63	1	9	18	9	2	14	23	6
CQUJHB004575	21	13	0	11	14	9	5	6	14	14	7	17
