"";"stage";"sample_type";"treatment";"exposition";"run";"stage_exp";"se.chao1";"SR";"SampleID";"alpha_type";"alpha_diversity"
"123";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";8,84798871883029;78;"PE200_rep3";"alpha_simpson";0,469924204126326
"124";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";8,84798871883029;78;"PE200_rep3";"PD";3,5772287395
"125";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";8,84798871883029;78;"PE200_rep3";"core_abundance";0,0768803693530477
"126";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";19,5421311776215;131;"PE200_rep4";"Chao1";162,666666666667
"127";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";19,5421311776215;131;"PE200_rep4";"alpha_shannon";2,05227715949579
"128";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";19,5421311776215;131;"PE200_rep4";"alpha_simpson";0,707844862896096
"129";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";19,5421311776215;131;"PE200_rep4";"PD";3,9231065375
"130";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";19,5421311776215;131;"PE200_rep4";"core_abundance";0,0206214318524838
"131";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";15,9131394698274;111;"PE200_rep5";"Chao1";148
"132";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";15,9131394698274;111;"PE200_rep5";"alpha_shannon";0,98400363312202
"133";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";15,9131394698274;111;"PE200_rep5";"alpha_simpson";0,457073072921389
"134";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";15,9131394698274;111;"PE200_rep5";"PD";8,248204554
"135";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";15,9131394698274;111;"PE200_rep5";"core_abundance";0,708745567705621
"136";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";14,3139423492702;106;"PE200_rep6";"Chao1";135
"137";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";14,3139423492702;106;"PE200_rep6";"alpha_shannon";0,118181003780547
"138";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";14,3139423492702;106;"PE200_rep6";"alpha_simpson";0,0249785579034466
"139";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";14,3139423492702;106;"PE200_rep6";"PD";19,498962222
